#plate,mjd,fiberid,run2d,specobj_id,ra,dec,sn_median_r,z,zerr,zwarning,class,subclass
'266','51630','137','26','299527060840278016',145.82165,-0.846567,14.34,0.067702,2.1e-05,'0','GALAXY',''
'266','51630','138','26','299527335718184960',145.87447,-0.608749,21.45,0.07159,1.8e-05,'0','GALAXY','STARFORMING'
'266','51630','139','26','299527610596091904',145.98911,-0.615036,6.17,0.335078,9.3e-05,'0','GALAXY',''
'266','51630','141','26','299528160351905792',146.37378,-0.368387,25.62,0.052907,3.5e-05,'0','GALAXY','STARFORMING BROADLINE'
'266','51630','142','26','299528435229812736',146.38135,-0.386464,16.56,0.052603,1.4e-05,'0','GALAXY',''
'266','51630','143','26','299528710107719680',146.46892,-0.092844,39.3,0.062513,1.6e-05,'0','GALAXY',''
'266','51630','144','26','299528984985626624',146.35579,-0.143388,38.93,0.030739,1.3e-05,'0','GALAXY',''
'266','51630','145','26','299529259863533568',146.47181,-0.32045,5.01,0.366169,0.000147,'0','GALAXY',''
'266','51630','146','26','299529534741440512',146.35204,-0.332691,35.9,0.052176,6e-06,'0','GALAXY','STARFORMING'
'266','51630','147','26','299529809619347456',146.29988,-0.120014,35.29,0.030704,1.4e-05,'0','GALAXY','AGN'
'266','51630','148','26','299530084497254400',146.43376,-0.105672,13.36,0.062402,4.1e-05,'0','GALAXY',''
'266','51630','151','26','299530909130975232',146.36539,-0.343515,25.08,0.052484,6e-06,'0','GALAXY','STARBURST'
'266','51630','152','26','299531184008882176',146.477,0.077431,5.07,0.441022,0.000107,'0','GALAXY',''
'266','51630','154','26','299531733764696064',146.39902,-0.350383,13.3,0.053548,5e-06,'0','GALAXY','STARBURST'
'266','51630','155','26','299532008642603008',146.32316,-0.02999,9.31,0.021709,5e-06,'0','GALAXY','STARBURST'
'266','51630','156','26','299532283520509952',146.36979,0.082264,12.65,0.067523,1.1e-05,'0','GALAXY','STARFORMING'
'266','51630','157','26','299532558398416896',146.30086,0.03548,36.23,0.021758,5e-06,'0','GALAXY','STARBURST'
'266','51630','158','26','299532833276323840',146.32958,-0.306224,10.08,0.036452,1.1e-05,'0','GALAXY','AGN'
'266','51630','159','26','299533108154230784',146.39968,0.032246,13.69,0.128487,4.5e-05,'0','GALAXY',''
'266','51630','160','26','299533383032137728',146.34706,0.075416,17.49,0.062282,3.4e-05,'0','GALAXY',''
'266','51630','162','26','299533932787951616',146.05733,-0.09703,43.67,0.03673,1.2e-05,'0','GALAXY',''
'266','51630','163','26','299534207665858560',146.23462,-0.406261,10.26,0.271907,5.8e-05,'0','GALAXY',''
'266','51630','165','26','299534757421672448',146.10554,-0.285416,23.38,0.089904,2.4e-05,'0','GALAXY',''
'266','51630','166','26','299535032299579392',146.19333,-0.038867,31.13,0.062961,1.9e-05,'0','GALAXY',''
'266','51630','167','26','299535307177486336',146.2278,0.043566,24.35,0.091392,3e-05,'0','GALAXY',''
'266','51630','168','26','299535582055393280',146.22225,-0.375888,30.73,0.067406,1.5e-05,'0','GALAXY','STARFORMING'
'266','51630','169','26','299535856933300224',146.28017,-0.406949,43.71,0.06336,1.2e-05,'0','GALAXY',''
'266','51630','170','26','299536131811207168',146.19248,-0.508279,4.91,0.369197,0.000122,'0','GALAXY',''
'266','51630','171','26','299536406689114112',146.16234,-0.022424,18.75,0.091557,3e-05,'0','GALAXY',''
'266','51630','172','26','299536681567021056',146.28301,0.064056,12.8,0.02158,1.2e-05,'0','GALAXY','STARFORMING'
'266','51630','174','26','299537231322834944',146.23184,0.068229,47.29,0.021608,1e-05,'0','GALAXY','BROADLINE'
'266','51630','175','26','299537506200741888',146.02339,0.021997,10.85,0.125543,2.6e-05,'0','GALAXY',''
'266','51630','176','26','299537781078648832',145.97523,0.106646,13.91,0.125411,4.5e-05,'0','GALAXY',''
'266','51630','177','26','299538055956555776',146.16563,-0.064166,30.68,0.063207,2.1e-05,'0','GALAXY',''
'266','51630','178','26','299538330834462720',146.06648,-0.000895,15.98,0.124062,3.9e-05,'0','GALAXY',''
'266','51630','179','26','299538605712369664',145.98758,-0.342555,13.71,0.126198,1.1e-05,'0','GALAXY','STARFORMING'
'266','51630','180','26','299538880590276608',145.99396,-0.135848,28.27,0.063048,1.7e-05,'0','GALAXY',''
'266','51630','181','26','299539155468183552',145.90594,-0.368358,30.96,0.097739,2.3e-05,'0','GALAXY',''
'266','51630','182','26','299539430346090496',145.93037,-0.060303,3.22,0.517111,0.000158,'0','GALAXY',''
'266','51630','183','26','299539705223997440',145.82519,0.043159,18.42,0.145113,2.9e-05,'0','GALAXY',''
'266','51630','184','26','299539980101904384',145.8765,-0.010999,28.74,0.127024,2.5e-05,'0','GALAXY',''
'266','51630','185','26','299540254979811328',145.89112,-0.467045,10.43,0.203196,2.1e-05,'0','GALAXY','STARFORMING'
'266','51630','186','26','299540529857718272',145.89245,-0.336298,18.89,0.097988,2.5e-05,'0','GALAXY',''
'266','51630','189','26','299541354491439104',145.8774,-0.050188,15.31,0.090997,1.2e-05,'0','GALAXY','STARFORMING'
'266','51630','191','26','299541904247252992',145.95019,0.07202,20.23,0.12582,3.4e-05,'0','GALAXY',''
'266','51630','192','26','299542179125159936',145.86533,0.089624,16.93,0.127791,3.5e-05,'0','GALAXY',''
'266','51630','193','26','299542454003066880',145.83689,0.002893,19.26,0.129491,2.6e-05,'0','GALAXY',''
'266','51630','194','26','299542728880973824',145.81742,-0.09431,8.17,0.345882,7.8e-05,'0','GALAXY',''
'266','51630','195','26','299543003758880768',145.84425,0.030685,15.02,0.155431,1.6e-05,'0','GALAXY',''
'266','51630','196','26','299543278636787712',145.86564,0.056189,24.22,0.127746,2.6e-05,'0','GALAXY',''
'266','51630','198','26','299543828392601600',145.84849,0.051299,15.25,0.122486,4.1e-05,'0','GALAXY',''
'266','51630','199','26','299544103270508544',145.82273,-0.16029,17.19,0.062655,6e-06,'0','GALAXY','STARBURST'
'266','51630','201','26','299544653026322432',145.8013,-1.074195,5.98,0.383598,0.000105,'0','GALAXY',''
'266','51630','202','26','299544927904229376',145.68613,-1.244038,17.49,0.14808,3.4e-05,'0','GALAXY',''
'266','51630','203','26','299545202782136320',145.63394,-1.050603,16.25,0.143298,2.8e-05,'0','GALAXY',''
'266','51630','204','26','299545477660043264',145.67849,-0.791401,17.64,0.149185,3.6e-05,'0','GALAXY',''
'266','51630','205','26','299545752537950208',145.76792,-1.074726,14.92,0.062498,1.7e-05,'0','GALAXY',''
'266','51630','206','26','299546027415857152',145.61886,-0.972686,14.31,0.152708,1.7e-05,'0','GALAXY',''
'266','51630','207','26','299546302293764096',145.68114,-0.867223,35.4,0.067595,1.3e-05,'0','GALAXY',''
'266','51630','209','26','299546852049577984',145.59655,-1.205323,6.94,0.147311,7e-06,'0','GALAXY',''
'266','51630','210','26','299547126927484928',145.61421,-0.865762,8.1,0.345673,7.1e-05,'0','GALAXY',''
'266','51630','211','26','299547401805391872',145.75413,-0.753394,18.79,0.098485,2.8e-05,'0','GALAXY',''
'266','51630','212','26','299547676683298816',145.5822,-0.892743,19.54,0.098351,2.8e-05,'0','GALAXY',''
'266','51630','214','26','299548226439112704',145.64525,-0.815519,17.05,0.14551,3.3e-05,'0','GALAXY',''
